495,271
432,02
150,086
1068,47
969,129
392,071
498,118
431,78
146,498
482,349
427,059
150,278
973,376
884,282
347,78
675,796
603,063
229,549
522,702
466,051
167,722
800,769
726,922
280,31
867,471
794,435
324,937
521,11
464,125
170,902
634,639
569,376
211,729
897,526
823,282
330,247
425,612
377,114
137,957
496,643
444,224
164,976
776,357
714,259
280,537
470,576
421,298
159,545
502,412
447,62
160,537
860,478
796,463
309,204
431,882
387,439
145,314
532,949
480,227
176,341
774,227
717,898
271,718
418,722
379,498
148,255
583,169
530,294
203,902
782,506
733,043
286,78
433,314
394,039
159,502
688,286
632,071
246,435
856,725
808,686
324,89
380,635
345,682
142,643
712,945
660,004
257,031
799,345
756,322
311,725
339,957
308,369
129,102
699,408
651,886
257,333
792,588
756,353
327,933
393,729
355,965
149,694
887,812
833,788
329,129
978,753
940,49
413,043
360,467
326,243
138,612
871,969
823,796
326,847
870,482
836,576
359,282
381,275
345,404
147,902
1019,15
970,176
402,816
887,38
851,863
364,643
338,996
307,439
132,188
943,047
902,404
381,149
796,557
766,392
334,447
400,655
362,706
154,686
1191,09
1142,43
490,925
922,474
887,22
383,988
357,431
323,647
136,275
1070,27
1028,13
442,863
792,694
761,059
326,635
381,31
347,224
147,337
1099,24
1057,53
452,769
811,714
775,816
335,847
325,588
296,592
126,102
952,439
916,584
392,192
658,588
626,227
266,18
424,118
387,953
168,957
1170,27
1126,18
480,447
780,408
739,957
308,765
427,8
390,533
168,071
1179,35
1133,43
477,518
772,792
732,192
302,827
360,055
328,133
138,925
1007,14
968,314
406,851
667,729
633,18
262,929
386,945
353,522
153,549
1038,13
997,38
420,682
688,965
651,875
269,816
411,435
377,326
166,78
1057,61
1014,94
428,741
719,149
679,925
282,071
513,925
472,184
209,086
1296,63
1242,89
527,216
890,694
841,741
351,247
351,863
323,329
143,925
877,208
839,827
356,114
612,651
577,674
240,012
461,808
427,008
193,812
1095,44
1046,98
441,635
815,808
769,067
323,063
497,184
463,251
217,753
1097,87
1046,93
438,792
859,329
809,02
340,376
514,004
479,71
226,031
1101,28
1047,65
440,047
868,204
814,996
336,827
417,035
388,478
180,49
879,416
834,537
349,278
707,886
663,133
271,129
535,345
498,251
228,984
1096,15
1038,07
434,78
932,651
874,231
358,702
426,886
395,569
178
862,808
814,114
340,674
787,635
739,369
306,263
519,349
478,906
207,918
1064,37
1002,15
423,804
1008,9
946,145
390,733
415,02
381,706
161,875
837,38
786,427
338,933
817,055
764,337
312,337
432,086
396,545
167,369
815,208
764,435
340,298
826,255
772,627
310,525
568,361
522,145
221,051
1010,15
948,973
457,451
1040,26
972,357
387,812
